名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,順位最終,最終票数
大悪魔召喚士ラピス ,1,16.10%,,大悪魔召喚士ラピス,1,16.55%,,大悪魔召喚士ラピス,1,1063542
紅血の皇女シルヴィア ,2,6.63%,,紅血の皇女シルヴィア,2,6.77%,,紅血の皇女シルヴィア,2,435694
魔戦団長イングリッド ,3,5.47%,,魔戦団長イングリッド,3,5.40%,,魔戦団長イングリッド,3,349979
屍仙道士スーシェン ,4,5.31%,,屍仙道士スーシェン,4,5.20%,,屍仙道士スーシェン,4,347950
聖女イリス ,5,4.44%,,聖女イリス,5,4.30%,,帝国妖狐キュウビ,5,279480
帝国妖狐キュウビ ,6,4.20%,,帝国妖狐キュウビ,6,4.26%,,聖女イリス,6,276355
九尾狐カヨウ ,7,2.58%,,九尾狐カヨウ,7,2.51%,,九尾狐力ヨウ,7,166016
星天の魔導鎧シルセス ,8,2.02%,,星天の魔導鎧シルセス,8,2.10%,,暗黒騎士,8,160111
風神の娘クーコ ,9,1.98%,,暗黒騎士,9,2.02%,,風神の娘クーコ,9,143595
聖銀竜の騎士ティファ ,10,1.90%,,風神の娘クーコ,10,1.96%,,聖銀竜の騎士ティファ,10,141894
暗黒騎士 ,11,1.81%,,聖銀竜の騎士ティファ,11,1.93%,,星天の魔導鎧シルセス,11,136667
黒翼の大天狗クラマ ,12,1.66%,,黒翼の大天狗クラマ,12,1.68%,,弓兵ソーマ,12,132650
弓兵ソーマ ,13,1.51%,,弓兵ソーマ,13,1.67%,,黒翼の大天狗クラマ,13,121637
堕天使ソフィー ,14,1.50%,,蛇霊の呪術師オロチヒメ,14,1.60%,,蛇霊の眠術師オロチヒメ,14,113701
蛇霊の呪術師オロチヒメ ,15,1.46%,,堕天使ソフィー,15,1.54%,,堕天使ソフィー,15,107290
魔導鎧姫グレース ,16,1.34%,,魔導鎧姫グレース,16,1.35%,,魔導司祭エターナ-,16,91645
魔導司祭エターナー ,17,1.32%,,魔導司祭エターナー,17,1.32%,,魔導鎧姫グレース,17,89892
神速の射手バシラ ,18,1.28%,,神速の射手バシラ,18,1.27%,,金色の竜姫エルドラ,18,83089
オリヴィエ ,19,1.26%,,金色の竜姫エルドラ,19,1.26%,,古代龍ハクノカミ,19,82686
金色の竜姫エルドラ ,20,1.25%,,古代龍ハクノカミ,20,1.23%,,神速の射手バシラ,20,81768
古代龍ハクノカミ ,21,1.23%,,オリヴィエ,21,1.22%,,帝国兵長リーゼロッテ,21,78499
鉄腕乙女ディーネ ,22,1.23%,,帝国兵長リーゼロッテ,22,1.19%,,オリヴィエ,22,77167
妖精郷の射手スピカ ,23,1.21%,,鉄腕乙女ディーネ,23,1.16%,,妖精郷の射手スピカ,23,74196
帝国兵長リーゼロッテ ,24,1.17%,,妖精郷の射手スピカ,24,1.11%,,鉄腕乙女ディーネ,24,71845
